name,state
"BIRSA MUNDA AIRPORT", Ranchi
"NETAJI SUBASH CHANDRA BOSE", CALCUTTA
"Rajiv Gandhi International Airport", Hyderabad
"Sri Guru Ram Dass Jee International Airport", Amritsar
"Biju Patnaik International Airport", Bhubneswar
"Lokpriya Gopinath Bordoloi International Airport", Assam
"Indira Gandhi International Airport", New Delhi
"Veer Savarkar International Airport", Port Blair
"Kempegowda International Airport",Bengaluru
"Cochin International Airport", Kochi
"Chhatrapati Shivaji Maharaj International Airport", Mumbai
"Jaipur International Airport", Jaipur
"Chennai International Airport", Chennai
